0,459,590,777,252,1982,1052,537,2642,1261,2291,437,397,2624,1969,3758,16832,6499,18361,11008,14598,18887,14896,1132,3499,3473,2899,18790,11424,10555,2629,4153,15814,6151,17322,7867,12393,9049,19815,10236,11752,14010,8022,21306,18277,12711,16521,17775,7226,12821,18288,3463,17638,19199,7735,4873,19799,7501,18639,18589,16625,20068,16770,9522,12609,19999,20474,18832,11585,11762,19616,19748,20437,19999
515,0,1455,1701,2695,169,1514,2511,361,1375,3177,4029,5198,2783,1046,2259,13968,5517,4138,2280,6667,9004,7712,919,4379,14218,3816,14632,6597,11692,3068,4624,13061,7138,12977,12219,2931,3620,13781,598,1522,1902,203,17752,3644,3575,4609,7794,2076,5161,14716,4880,15455,18864,16302,6771,19999,1630,3765,18863,9266,20109,18415,13706,18260,19999,20283,19310,14501,10970,19710,19836,20387,20143
832,929,0,819,2245,2512,128,252,3957,758,2051,317,922,635,1005,1196,8209,2793,11102,8834,10017,10245,14582,6465,2791,14272,8080,19999,18119,12888,733,219,5860,216,8051,4525,8447,16994,19912,12458,12053,8538,6004,23093,13097,12410,12097,17155,7165,12524,18207,577,18372,19003,6823,8365,19999,5831,10905,18242,12436,20072,10267,10819,9598,19390,19999,19999,10208,16131,18696,19999,19961,19561
649,1437,949,0,300,3272,436,344,5651,3137,140,3935,3091,2122,1052,1723,10846,5042,6972,4398,7068,13233,9737,2619,152,1803,3370,11577,6907,3928,2548,5123,11329,3641,13783,8112,6487,10738,18950,15036,13868,8116,7533,29254,17475,14310,12429,16247,4326,10073,17785,2372,13447,15652,7186,4803,19631,5163,4532,18756,5798,20005,11671,2244,10078,17799,20341,19999,12156,16521,18856,20052,20213,19872
286,3131,3902,331,0,7812,4179,1721,10388,6562,2454,11857,8427,8931,3893,9087,18363,10575,17293,14361,12263,18744,18212,986,1137,14228,4981,19999,18660,12901,12809,11790,18928,16554,20193,14496,16718,19073,19999,19051,18944,19502,17512,21461,19257,19632,18242,19957,8683,17753,18916,13286,18905,19174,16396,8452,19999,7868,10917,19893,15911,19999,19234,15225,19624,19999,20107,19999,19566,14557,19999,19999,19999,19999
1592,145,2000,2161,4361,0,2401,4071,82,396,3855,6175,7861,2973,4282,8887,17375,13866,5646,11879,14044,13492,13352,6722,18595,19999,15738,19999,19999,19999,4171,6358,20061,11867,18016,10735,9722,18602,20026,5415,10436,3738,659,22670,7171,6918,8015,12686,11639,17824,18916,19999,19999,19999,19999,16009,19999,9748,11054,19853,17019,19999,19598,19999,19999,19999,20149,19999,19999,19999,19999,19999,19999,19448
952,1221,120,413,2671,3626,0,380,6435,2663,1725,2196,2014,170,2781,3125,15570,11695,6380,10882,16632,14732,18920,9216,2535,9381,9174,20280,19999,9560,2792,3807,11426,2070,12987,14752,14937,19999,20085,14420,15927,11633,9844,21228,18927,18998,16365,20027,11934,14129,18755,269,19999,20058,3133,11455,19999,10796,9820,18558,16942,19083,18776,7596,6601,18721,19844,19999,9756,19999,18524,19999,19853,19999
548,2416,284,331,1564,5990,373,0,8717,4318,2146,2499,270,1856,2940,6113,16532,8735,17081,12932,14185,19428,16079,11913,2079,14573,18555,19999,19999,12412,5056,5226,18088,5320,18768,14123,18072,19999,19999,18356,18970,18027,15841,22537,19711,19196,19251,19658,10130,16224,19999,1989,17582,19100,13605,9790,19999,10450,17648,20646,16761,19984,17226,11358,16721,19999,20212,19512,17896,15509,19137,19999,20297,19999
1844,284,2634,3470,5097,83,4361,5456,0,1620,7606,8920,10030,5104,11964,19999,19975,18939,19999,19999,19999,19999,19999,16599,19999,19999,19999,19999,20337,19999,16522,15356,20113,19879,19999,20389,19999,19999,20477,16292,20202,16151,9158,21667,19353,19999,19141,19999,17637,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19304,19999,19999,19999
1253,1047,689,2649,4304,385,3093,3487,1708,0,5565,3951,6471,3408,1559,4960,16697,7143,13545,12418,12310,11779,13395,7558,15983,18779,14948,19999,20373,20356,1372,375,9890,5660,11529,5674,19134,18514,20625,13667,15382,8480,1310,24051,11566,8344,13336,16788,8272,16932,18916,16233,19444,19999,17350,15545,19999,9604,14161,21488,17059,19999,18415,17551,17549,19999,19999,19999,19372,17598,19999,19999,19999,19999
1667,1966,2016,133,1801,5911,1621,1975,10731,5240,0,6650,4942,3785,13799,18456,19538,17613,20891,18832,19075,19999,17982,9050,391,5172,9872,17782,19999,11242,13720,15986,19696,12835,19660,20244,19999,20381,20186,19999,18745,19009,19870,20371,20434,19999,19999,20027,14625,17305,19999,3276,19101,19999,14567,16673,19999,12437,19999,19999,19773,20109,18473,1358,19999,19999,19764,19999,19999,19059,19999,19999,19504,19999
603,4068,317,4739,9773,7559,2852,2509,11251,4075,9020,0,353,4336,8114,10182,19664,14395,19999,19259,19685,19999,19710,17046,19999,19999,21255,19999,19999,19999,15448,8695,19999,13722,20353,17497,19999,19999,19999,20733,18943,19999,19516,21089,19999,19999,19999,20408,18987,19544,19999,19999,19999,19951,16718,19999,19999,17733,19999,19999,19975,19999,19999,18724,19417,19999,19999,19999,19936,19999,19999,19999,19999,19999
519,6435,1383,4772,7843,12041,2915,287,17746,8161,9123,385,0,6248,11706,10731,20197,17025,19999,18423,19999,19999,19999,19999,19999,19389,19999,19999,19999,19921,16412,15852,19999,16300,19999,19029,19999,19999,19999,19999,20096,19999,19999,19999,20435,19999,19999,19999,18097,19999,19999,19999,19999,19999,18742,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999
4267,4110,1191,3398,9878,8154,178,2532,14961,7988,7596,6511,7305,0,11899,15089,19902,13645,5927,16354,17728,8982,14641,19999,14315,19999,19999,19999,19999,20118,3834,12812,13224,2339,19074,17030,19690,19999,20612,19646,19831,19403,17521,21214,19561,18939,19605,18336,17117,18948,19999,95,19999,19999,3859,19999,19999,19999,19711,12838,19477,19999,19598,19999,19999,19999,19999,19999,19210,19999,19999,19845,19999,19999
350,131,171,239,584,628,500,534,2129,317,882,882,734,779,0,20,143,80,1050,497,1310,2370,1995,345,204,460,206,642,308,982,135,177,79,173,255,151,692,579,2884,604,2274,289,204,670,315,165,62,279,787,619,2025,72,1413,1670,226,167,848,201,556,861,368,4796,132,320,433,1421,6990,1176,445,1106,2087,1398,4486,2947
444,279,128,468,1208,1214,745,750,4410,602,1320,363,172,839,25,0,75,7,565,503,1385,2049,1618,427,318,518,207,1271,369,1416,140,199,101,195,289,219,837,998,3917,1072,3046,430,409,2145,464,251,51,427,985,709,2206,92,1261,1593,244,179,909,212,592,1120,570,3777,125,520,515,911,6833,1164,448,976,1832,1587,4143,1607
6542,3346,1718,3995,9662,10810,6740,7661,20180,7621,9018,17817,14279,8304,167,77,0,251,11227,4537,7106,16411,18086,1821,2721,2634,3167,14374,3969,9403,1131,1618,1002,1208,2253,1917,4574,17616,18082,9403,19410,2861,3670,16919,4697,3316,903,4450,8099,3508,19286,553,11043,9286,1706,1022,4280,1275,4849,8372,4721,19163,1076,2887,3590,8210,21138,5785,2918,3961,8439,6229,17277,9399
1303,830,452,1363,1910,3663,2363,1932,9684,1734,4612,4508,2821,1236,97,7,231,0,1743,2438,4050,4749,4178,857,689,2376,753,3387,1445,3574,502,386,380,534,520,429,3332,2193,12093,3283,8085,1373,479,5379,1226,557,159,849,4026,3921,9662,159,6347,9448,757,1488,4655,1366,2122,2944,2477,7148,145,2793,1484,4656,19402,6819,1201,14748,11609,5084,19737,13806
2069,234,804,740,2925,313,699,2226,6380,766,2202,3742,6049,270,1533,943,8950,2829,0,90,225,117,170,499,642,1941,799,884,281,1799,1262,1904,691,929,2118,705,935,191,735,566,1205,1116,170,1021,91,274,833,307,674,872,1414,116,4453,4357,935,1272,2941,178,668,2880,1271,12030,3324,1601,1593,6841,18952,4034,655,4611,7427,5843,16155,15105
1682,265,951,717,3080,1195,1175,2026,5571,1347,2340,4206,3608,935,555,529,3107,2429,65,0,59,79,39,118,227,483,460,250,207,911,597,1519,1202,1824,1608,1929,225,93,360,174,223,364,277,2836,66,534,561,384,149,189,458,155,1213,1180,487,210,819,44,818,2285,939,2856,1110,548,938,2008,4345,1521,868,1081,1895,1593,4291,2680
2453,787,1200,1516,2908,2102,1270,2517,9236,1644,1712,7207,7361,744,1512,1336,5886,4440,179,50,0,66,127,531,540,1378,600,148,237,1432,1100,2015,1054,1883,2186,1592,393,99,359,307,527,815,422,4118,107,713,879,691,264,447,606,183,2269,3988,992,706,2113,77,1678,3241,1687,4644,2617,1129,1293,4599,12799,3539,570,2288,4492,3274,15607,12097
5969,861,1508,2410,3381,1859,1709,5581,11471,956,5784,10691,15217,347,4771,3483,13964,8090,93,87,79,0,159,1570,1232,4302,742,322,504,2433,2194,5135,1416,3706,4198,3350,1362,371,546,1650,2187,2211,1038,4475,358,568,2069,930,738,1009,2400,297,7890,8275,2287,19999,8724,208,2129,6187,3066,13940,8162,4180,3088,15152,21011,14535,1461,18968,17023,13994,20699,19980
3054,1237,2312,2024,4937,2404,2207,3654,9485,1719,3069,8861,9010,681,2828,1896,15414,5667,146,41,177,218,0,638,791,1990,764,228,194,1994,1194,2247,626,2032,1584,1853,947,371,900,1180,1283,755,635,1818,66,431,886,436,637,844,1488,308,4761,5716,2074,7324,3540,196,1853,3651,3062,6849,2831,2135,1275,8749,18213,6315,588,10097,13926,4414,14009,14883
1268,1022,9409,3899,1121,10823,10663,10674,18363,11256,12282,23429,21926,18619,955,1308,5040,3125,3929,627,2668,14191,4565,0,362,105,104,1114,560,1107,4054,10003,19107,16489,22120,14734,945,256,7891,7460,226,8223,7674,25457,15099,14358,6864,17630,429,1392,6255,9435,12097,11087,8963,321,19666,269,11164,20443,6157,17738,15585,3707,15522,20088,20483,15075,16148,3240,16342,19019,20502,16444
4156,5593,3615,163,1190,11364,3639,2299,19581,12533,462,20998,12565,8184,651,982,6863,2540,5794,1272,2949,11224,6099,386,0,60,165,972,484,202,3057,6666,11220,5595,17313,9112,2982,3022,13402,9494,8087,8223,10672,27280,14604,9902,11104,12284,994,3411,6101,2194,5513,6609,4232,373,18633,675,5145,13216,4003,14233,9778,625,7631,12189,19285,15433,9564,2051,8682,19520,12086,7268
1273,2578,3168,1314,3979,6810,3784,4066,12686,5627,2741,11378,6525,5503,708,661,2312,3464,1888,785,2285,3274,2461,60,37,0,39,32,19,45,919,2970,5639,4792,6337,6353,1090,604,3702,1057,3898,2189,3569,18790,5431,3557,4649,5456,568,827,876,585,1492,1091,692,139,1529,285,2086,5770,1411,1924,2772,285,1291,1311,2634,1916,2178,864,2355,3034,3883,2261
3550,4664,11182,4088,3820,16581,9767,11557,25757,13138,12085,19351,18684,17343,788,1003,9978,3287,11334,3012,4227,8408,9777,104,161,63,0,390,124,412,4593,7487,17925,16740,21135,10867,4181,194,12177,19569,8774,12371,16648,25162,19689,16668,10297,17173,1399,4340,7751,13360,8223,9581,12161,435,19666,603,11556,22435,8828,17202,14956,1833,15732,13731,20665,14143,15549,2028,10343,16041,16738,8770
15159,13454,20865,10860,19677,25285,20174,20898,23399,25898,22076,22948,22766,24645,2045,5253,15113,9783,8615,1353,983,4868,2409,1057,1023,48,448,0,92,1082,11143,16986,20383,21415,22345,20937,1719,944,3132,7779,4977,15257,17105,24575,18950,18413,12416,19700,378,1360,513,12568,2908,2816,8488,448,18044,307,9621,23717,8156,8958,15957,1349,12259,17712,20146,14093,18046,1740,11112,14287,12438,6721
8553,6485,20179,7210,13596,26025,17932,15509,23937,21568,16251,25321,23491,20898,1129,1718,12291,5937,4268,1186,1689,7217,2488,636,481,34,130,93,0,601,7871,10676,20587,17938,22316,16828,2113,104,5137,10403,5683,12493,12573,23876,15411,16944,7559,17213,719,1698,3039,7576,3899,4415,7414,278,18716,287,11028,18583,2795,9501,15149,1481,13397,20391,19591,8370,15095,1418,12402,17586,11151,5835
10181,20418,17606,4070,12431,20875,14016,13564,26441,18975,9833,31778,21671,22742,5561,13147,18091,14477,19411,5514,9705,17342,15846,996,189,59,371,845,433,0,16576,18491,19999,18816,20809,18212,15171,4873,18714,20134,14030,19902,20211,22216,21336,20452,20137,21878,1185,11732,15433,19999,18261,19290,19999,2776,19999,3431,14154,21705,10636,20016,19999,2574,19999,18370,21347,19999,19999,9543,19703,17046,19568,19999
1282,1466,277,1698,3560,2822,1866,2573,6506,980,4327,5046,5224,1431,233,202,1393,829,2120,958,2311,3233,2493,1652,1419,925,1765,2736,1936,4752,0,20,36,32,36,30,1395,2563,8028,2310,4501,521,972,2495,1264,252,1360,1815,1747,1119,3182,354,2706,2804,754,272,2119,411,1612,3763,1403,4518,1040,964,1018,1640,7740,3372,1183,1868,4175,3517,6070,3275
4776,5013,199,6697,12938,7908,5070,6831,19689,370,15299,9537,13138,6486,433,560,3425,1462,19116,9499,8859,20738,16756,10878,16959,19575,18079,20424,21255,19565,26,0,841,430,752,471,15552,21007,21178,16244,20834,6966,1539,19777,11094,3187,7801,16009,5385,10847,18510,4406,19572,20054,10824,6020,19999,2406,11878,18242,8872,19999,5964,19999,13592,22773,20567,19999,8214,19999,19999,19999,20446,19999
16070,20614,6899,16866,20495,22443,22072,21658,28051,12805,23239,28064,20160,12493,170,272,1906,943,15876,5872,4046,17687,7358,21624,19202,19970,22836,20312,21097,21179,53,1041,0,948,97,450,16697,20895,20860,21072,23986,9017,10760,22833,11332,5056,5562,14785,3435,12322,20253,2262,19833,18221,6082,19999,19999,1879,12087,17234,7599,20341,2117,12448,2253,20105,21818,19124,1663,19999,18110,19999,20324,19999
7131,10723,214,5387,19402,20457,2214,5849,27454,7196,16908,16886,13306,1996,364,467,2236,1407,16287,8794,8816,20692,14936,16398,9663,19917,21140,20810,20927,21994,45,419,762,0,887,675,18253,20268,22098,20926,21938,7895,9716,24257,12604,6416,8297,17299,4187,11209,18292,1337,19999,20111,7908,2684,19999,2117,11244,19086,9406,19999,5135,18037,9562,21981,21785,19999,4839,19999,20638,19999,20146,20976
19561,21881,10393,22626,23036,19378,21564,22058,23556,18199,23506,23706,20469,18707,583,707,4234,1526,19676,7898,11114,20340,15968,20414,20395,19999,20493,19999,20584,22766,52,1065,94,994,0,489,17959,19999,21239,21394,20854,11725,16448,20236,18214,6240,11443,20635,7838,16963,20147,5470,19999,19999,9950,8928,19999,4898,15054,22421,8074,19999,4753,18596,4572,22381,20402,19999,3420,19999,19999,19999,19999,20573
5645,9600,1245,9190,17832,5147,14546,13873,23258,4297,20437,10831,16165,9700,421,528,4033,1412,4761,9430,6261,11923,8720,15079,19999,19999,19733,19999,19999,20408,34,387,283,519,341,0,19931,20673,20795,14066,19699,2842,5469,7076,6123,1333,4176,7478,8091,19999,20806,7163,19949,19999,19999,19999,19999,2826,8240,16707,7599,19999,4943,19999,8870,15605,20197,19999,8500,19999,17649,16060,19999,18760
4994,1679,3282,3751,7775,6442,4134,7983,13149,6290,8648,15573,14025,6245,970,1214,5022,4545,1890,410,889,2529,1919,702,1683,1115,2116,960,1019,4824,1430,5008,7983,6476,7983,8482,0,50,89,40,23,1511,1577,23006,2370,4173,3416,4221,272,149,613,832,2277,1864,1278,296,2867,104,2500,6618,2023,3564,5044,1312,2449,4158,12872,3900,4700,1720,6056,4644,11747,7786
11916,2863,17689,12732,15615,17190,20113,19912,26008,14319,19159,25094,21107,16926,2031,5111,18685,8256,1947,507,461,3735,2705,266,2929,1004,198,905,105,4532,10111,15287,20169,20475,20543,20816,70,0,512,1185,220,5654,7076,25277,7127,11504,8134,11594,424,536,1533,19999,6901,5438,13115,684,19659,137,7494,13233,4001,14110,19781,6875,18047,20266,24550,7523,19999,1503,17962,17160,17453,10888
20432,19579,20823,20647,21294,20700,21306,21879,22091,19746,20459,20402,19999,21748,19999,19999,19999,19999,5790,1193,1630,4367,4678,6780,20244,10891,14143,2839,4229,20301,19145,20495,19999,19914,19999,20261,108,422,0,1257,844,15805,14135,22505,15443,20149,17788,19454,691,357,996,19999,11931,8384,19999,19999,19999,245,15641,20997,8205,20856,19999,19999,19999,19117,19999,19999,19999,19999,20232,18083,20294,20818
18093,568,20460,23688,20866,8300,13973,21529,22021,17459,25244,29710,21373,18606,1493,3288,16797,7257,5341,847,1354,8888,5395,9048,16795,9480,18433,15250,20392,19694,9254,17178,21061,20799,20757,21980,55,1135,1863,0,481,2660,556,24568,4269,9717,5916,11325,641,587,4255,8400,7210,12138,9714,1503,20807,238,6633,21701,7561,19192,15985,9667,13115,21995,21868,6287,15405,4365,20106,16497,20304,19527
16099,1442,19075,20170,21494,15488,14351,18833,22654,15784,20748,27139,21718,20451,14602,19999,19658,19999,10142,893,1810,11063,5228,223,20228,16194,10931,5288,6727,18276,17489,19237,19999,20786,22428,20236,30,235,1157,472,0,15565,12304,24779,11005,21090,17550,18818,254,559,3787,19999,18476,17229,19999,2437,20251,169,18262,20723,11144,20560,19999,19999,19999,19999,20435,19999,19999,19999,19999,19999,19999,19999
4733,990,3084,4098,8265,2879,4787,8208,10727,4809,9775,14676,15543,6706,474,612,2701,2112,2121,747,1944,3167,1429,2555,2467,2020,3114,3523,2624,7159,503,3089,3613,3755,3839,2443,1303,2470,6571,1301,4699,0,46,297,56,31,81,63,1636,1154,3194,832,4250,3939,1269,494,2847,335,1132,2913,1346,6788,2377,1752,1740,4242,13813,5144,2454,2872,3392,5015,8878,7285
7539,197,5867,7022,13710,628,7878,11625,9038,1339,17806,23628,17606,8629,471,1102,6139,2180,2240,1120,1933,5611,2600,4312,8398,18382,9478,20647,8935,19505,1288,1513,7678,6807,9585,6015,2108,5229,10895,554,7716,59,0,2063,263,360,425,716,1527,2122,8414,7292,19019,18397,13068,5075,18862,502,2314,7617,2077,20350,11610,19999,14061,19974,20492,19999,13328,12633,16968,19999,19962,19999
19999,23302,19999,20925,20472,20786,21235,20965,21358,20471,21334,21239,20897,22527,1635,9749,17100,15872,19210,19999,19140,18639,14211,19999,20344,19999,20307,19999,19999,19999,2346,19277,20834,20275,14566,5332,19999,19999,19999,20371,20305,344,1890,0,1752,145,892,2439,19999,19999,19999,19999,19999,19999,19999,19999,19999,19999,17290,21810,13855,19999,19999,19999,19999,19999,19999,19999,15788,19999,19999,19999,19999,19999
15346,3576,11919,15344,20421,7873,14420,17174,27995,9857,22177,22523,21544,10944,942,2038,11479,3999,1196,282,857,2446,393,11631,20287,19471,20526,19302,20382,19249,2587,9969,8583,10773,12956,6972,3608,6099,12238,3673,9574,81,327,2548,0,737,696,500,1511,3368,15606,8702,19564,19454,19999,19999,19999,336,1570,7965,976,20253,12668,19999,10730,20954,20410,19999,11280,19999,19999,19999,19999,19999
14068,2849,10298,11750,19491,7269,14464,21667,24153,8735,22674,23692,22806,11953,425,734,6103,1558,3469,1792,2933,5054,2583,11950,19838,19703,21664,20178,20671,20511,316,2911,4067,5054,4498,1527,6595,20370,20131,6076,18449,41,419,159,673,0,496,536,2398,5445,19703,7157,19408,19999,17544,19999,19999,688,3079,10644,1920,19999,5438,18939,11581,21218,20977,19999,8471,19999,19999,19999,19999,20343
8623,2706,6563,6181,13814,5905,12572,13103,23351,10244,14546,21068,17482,7673,228,220,2455,644,4832,1966,3332,8727,3321,5361,6324,17075,7089,13887,17028,17809,1598,3533,3032,4460,4724,3240,4414,8549,21160,4613,14003,137,717,1359,619,405,0,346,3020,5970,19229,4276,19647,18754,10795,19999,15935,896,1453,4750,622,19247,5163,19999,6126,18257,20026,19999,9101,19272,18189,19330,19685,20408
21693,8166,22744,21665,22125,13551,22506,23549,24195,16695,24000,22287,21310,21799,720,1298,8957,2753,3222,1366,2879,6937,2232,20565,20210,19707,20509,19999,20398,21281,3511,15048,17008,18169,20395,10633,12703,22350,19772,10257,23371,79,973,3415,508,552,372,0,2516,7503,19304,8419,19999,19883,12350,19999,20398,554,1816,7095,967,20652,14537,19414,11614,21097,19999,19999,14104,19105,19999,19999,19999,20015
1166,287,1055,743,1689,2019,970,1904,6489,967,950,5276,3671,1095,816,898,4521,3524,403,127,280,478,512,117,251,536,302,95,162,250,1016,1222,1116,1307,2324,2110,135,126,256,227,84,794,491,3962,416,724,822,704,0,75,65,228,1327,1394,631,360,1092,10,1251,1073,1429,2484,2586,377,1080,3088,5248,2082,1488,1157,1804,1886,6333,5510
2569,1362,2374,2480,7169,5085,2638,5328,12226,3912,4364,11122,9832,3698,748,745,3180,3422,921,222,732,1171,1074,545,1117,655,1343,524,634,2481,848,2695,4332,3531,5360,4539,126,268,233,338,305,845,1076,10397,1322,1633,2135,2053,86,0,70,449,1041,872,606,201,1205,77,1254,3042,1404,2492,1805,664,1126,2834,3417,1544,1308,1014,1907,1892,3661,2406
13855,6279,15337,9204,19021,18204,12594,16766,25470,18319,14811,23574,22438,17836,10132,6545,16792,14839,2918,962,1606,4525,3071,3557,3677,959,4060,469,1858,6982,3816,13549,19736,15152,18398,18210,718,1161,1043,2789,2572,4022,5871,25859,7304,11459,9938,9945,125,103,0,9891,1127,918,2317,472,4209,179,4757,14032,6630,3849,6863,1276,4692,13545,8783,4904,5286,1621,6824,6515,10310,6094
2162,1821,772,1382,4537,4432,295,1801,10257,3875,1555,5490,5419,89,181,242,1133,564,1010,564,884,1883,1906,2040,977,737,2389,2564,2242,3346,538,1645,1054,1080,1915,2214,1003,3233,7366,2255,3395,1092,1886,10445,2283,2100,2234,2326,661,715,2230,0,1470,1529,25,198,2082,185,673,2295,835,3220,713,286,205,1013,4544,2325,165,926,1042,3254,2493,1298
6465,2996,7522,4434,10726,13175,8344,8984,24204,11524,7351,20337,8131,9042,1775,1266,8106,6329,3294,1271,2460,5119,4947,2633,1650,1051,1610,980,912,4976,2258,9292,14819,10823,16045,9529,1458,2028,6197,1555,4156,3743,6412,24256,6443,9990,7876,10350,1375,995,680,1058,0,95,1191,172,402,333,3408,5185,2478,1163,4441,1029,2149,5408,4389,1067,4944,578,3155,929,4109,3919
9811,6012,12876,6367,13591,17561,9456,12385,24958,17474,8475,24993,21737,9748,1949,1674,7532,8459,3025,1451,4274,5231,5467,3269,2935,956,2206,1317,1344,6954,2398,10729,18434,12742,18371,12393,1576,2123,5698,2745,7215,3012,7096,22259,8938,8633,8865,10595,1865,920,672,1118,102,0,1307,143,1153,496,4205,6673,2303,764,4730,1152,2034,2807,4771,1554,3671,440,4403,2198,5120,4071
1929,2583,1104,1816,5798,6187,1459,3083,12376,4616,2278,7025,7630,1284,321,332,1913,1453,1389,684,1768,2667,2838,2066,1368,601,2138,2248,2170,3938,741,2469,2499,2397,3243,3827,1148,3430,6525,2599,5342,1055,2548,13368,2930,3001,2748,2512,1062,788,2056,21,1385,1314,0,144,1277,235,1206,3402,1301,2388,878,166,229,616,2958,1304,284,829,507,1676,1748,836
584,577,925,618,923,1881,947,1674,5861,1739,982,3104,3898,1980,164,162,719,974,606,201,634,1228,1143,115,179,108,153,195,96,516,225,910,1431,903,1493,1127,216,262,1179,352,890,339,749,5362,1281,1253,1063,1325,336,189,333,135,167,124,121,0,90,72,502,1019,425,63,618,104,321,282,301,131,567,21,445,159,541,542
4936,9533,20469,13891,20301,20621,17936,23144,22293,21913,19135,21140,21166,20452,1194,1188,5307,5773,3620,1506,4149,7742,7066,12349,12104,1475,9598,7620,8061,13523,2348,19158,19872,19202,19096,14246,3310,10674,14199,13031,18290,3284,11722,27037,16383,16176,9877,14623,2204,1689,4231,2827,1019,1785,1331,140,0,470,4365,12413,2905,2399,5559,1597,2457,784,9795,231,4124,447,7760,104,8834,8572
913,213,611,572,1204,1066,672,1182,3529,792,1038,3607,2964,868,189,190,988,1029,149,40,78,184,183,112,242,219,202,129,105,654,279,724,889,877,1242,769,66,61,134,110,90,226,252,1490,142,329,401,225,10,64,110,91,319,399,171,68,334,0,306,745,353,1246,748,194,365,607,1988,473,512,322,742,525,1482,971
4797,978,1226,2238,8152,3347,1859,5531,13748,4300,6187,10719,13876,1608,773,813,5055,2997,701,1026,2142,2229,2332,3082,1312,1878,2087,1899,1939,3973,1392,4129,2608,3163,6113,4505,2464,1784,7106,1480,7579,788,1030,4142,408,995,775,541,1910,1481,3903,217,4322,5108,925,707,3045,397,0,71,111,11478,2218,1941,1741,7428,15673,6166,1230,3262,4962,9693,13055,9313
13428,6097,8136,10700,12429,12618,6676,15640,23483,11684,19291,23797,20788,1293,2400,8779,15716,12800,4878,12931,13465,14607,16797,12590,6118,19999,10430,21220,7296,14788,9623,8976,4224,9099,18176,11920,17910,10272,21719,11962,22370,3341,3453,25607,1993,3801,2714,2768,6070,11811,21164,1031,15751,17192,15958,8873,20408,2751,84,0,201,21053,12434,18362,7533,20838,20744,16068,4788,13607,20257,18591,21319,20772
3808,1338,2306,1552,5716,4632,5258,5513,16010,6466,5149,18784,8010,3652,487,660,4755,2775,1179,1030,1973,3161,3132,1851,1274,1343,2258,3609,743,4194,1126,3334,1814,3503,4261,3012,1550,1548,3733,2824,5218,877,900,7094,300,722,227,378,1639,1406,4461,272,2556,2500,1077,533,2373,420,109,145,0,11826,2244,1267,1328,8028,14698,3124,1313,1638,3671,3638,9542,6091
19801,20765,10569,20511,20695,20972,7802,19824,22679,20251,18573,19617,9910,20717,19999,15769,19999,19999,3911,12942,10236,6747,10362,8983,7490,2434,6927,5249,3261,14305,16715,21227,19999,20805,19999,20818,4804,4857,16274,12963,19279,18250,14275,21491,20432,21113,19271,19965,6116,4329,3472,19999,1707,745,15373,80,2487,14132,20077,18024,19086,0,19149,3467,17260,8764,3154,2367,19779,46,17234,4239,12011,19027
4685,4535,2473,6484,14179,11670,10339,9585,21960,7664,14972,10342,14897,11868,348,252,1975,482,3804,2091,6600,7226,4583,6783,4501,2464,5729,7060,3886,13665,1032,2858,1305,3141,2381,3453,4213,18997,19795,6192,14890,2255,4871,19006,5281,2346,3646,4893,11923,2631,8927,629,4464,5006,1096,933,4562,1452,2121,6241,3071,8347,0,2616,1149,5226,18079,6417,1556,4920,7399,7370,16310,12949
2383,1874,1880,1526,5085,7999,3068,3219,16687,3663,675,3957,3057,5419,530,635,2769,3447,1458,845,2183,2765,2149,1110,368,277,683,583,444,1459,978,3867,4143,3623,4445,5099,1143,1422,4668,1818,4183,1521,3309,22501,3844,2578,5368,3579,878,849,710,229,1341,1351,182,135,1479,293,1672,2777,1566,1636,2146,0,1007,1248,1124,1555,1632,739,264,2450,533,829
2858,3823,1783,5240,12567,12678,4619,7843,24925,8200,9004,7948,11503,9036,994,867,5128,3275,1670,1594,3674,3246,3059,6094,3134,1296,4603,4895,3750,8536,1164,3915,1132,2608,1733,4433,2516,8442,15450,4052,14879,1894,4881,21127,2205,2597,3664,4132,3037,1843,5119,125,3648,3063,260,490,2870,750,2080,4270,2347,5477,1130,1116,0,3750,8111,3869,451,2219,3347,4458,7128,4763
